"Groß-Enzersdorf","Gross-Enzersdorf","48.2000","16.5500","Austria","AT","AUT","Niederösterreich","","11206","1040341836"
"Haysville","Haysville","37.5649","-97.3527","United States","US","USA","Kansas","","11338","1840007568"
"Nauheim","Nauheim","49.9447","8.4548","Germany","DE","DEU","Hesse","","10570","1276153324"
"Mülsen","Mulsen","50.7447","12.5747","Germany","DE","DEU","Saxony","","11113","1276902814"
"New Britain","New Britain","40.3084","-75.2069","United States","US","USA","Pennsylvania","","11336","1840001327"
"Sankhavaram","Sankhavaram","17.2704","82.3445","India","IN","IND","Andhra Pradesh","","11039","1356086261"
"Tega Cay","Tega Cay","35.0390","-81.0110","United States","US","USA","South Carolina","","11335","1840015488"
"Søgne","Sogne","58.0942","7.7725","Norway","NO","NOR","Vest-Agder","minor","11260","1578522567"
"Ichinohe","Ichinohe","40.2131","141.2953","Japan","JP","JPN","Iwate","","11296","1392741013"
"Amherst","Amherst","42.8705","-71.6068","United States","US","USA","New Hampshire","","11333","1840054510"
"Dammartin-en-Goële","Dammartin-en-Goele","49.0542","2.6814","France","FR","FRA","Île-de-France","","10196","1250805178"
"Susurluk","Susurluk","39.9136","28.1578","Turkey","TR","TUR","Balıkesir","minor","11268","1792726063"
"Allāhdurg","Allahdurg","17.9667","77.9167","India","IN","IND","Telangana","","11018","1356302297"
"Dent","Dent","39.1922","-84.6593","United States","US","USA","Ohio","","11332","1840005880"
"Acate","Acate","37.0253","14.4925","Italy","IT","ITA","Sicilia","","11325","1380824734"
"Paramoti","Paramoti","-4.0969","-39.2389","Brazil","BR","BRA","Ceará","","11308","1076701260"
"Chantepie","Chantepie","48.0886","-1.6164","France","FR","FRA","Bretagne","","10458","1250992436"
"Chiyoda","Chiyoda","36.2178","139.4425","Japan","JP","JPN","Gunma","","10831","1392003197"
"Balsa Nova","Balsa Nova","-25.5839","-49.6358","Brazil","BR","BRA","Paraná","","11300","1076602507"
"Santiago del Teide","Santiago del Teide","28.2957","-16.8145","Spain","ES","ESP","Canary Islands","","11115","1724546976"
"Cislago","Cislago","45.6500","8.9667","Italy","IT","ITA","Lombardy","","10394","1380157328"
"Krosno Odrzańskie","Krosno Odrzanskie","52.0542","15.1000","Poland","PL","POL","Lubuskie","minor","11238","1616603555"
"Kasba","Kasba","25.5856","88.1122","India","IN","IND","Bihār","","10067","1356834956"
